speech_turn,use_of_force_level
"She's choking on her own blood man, come on.",5
999. 999. I've been shot. 999.,5
Get his arm behind his back right now,3
You're grabbing my balls sir,2
You got that arm.,2
Give me your arm now.,3
Let go. Give me your hand now,3
"Why man, I'm gonna comply bro, you just.",2
Put the gun down!,5
Let me see your hands! Put it down now!,5
Drop the gun!,5
Drop the gun now!,5
No you didn't. Put both hands up now!,3
Put it on the ground. Put it on the ground.,5
"Get your fucking face out of here, before I stab you.",5
Get out of my face fat boy.,2
Put the knife down,5
"No, shoot me. Shoot me. I'll kill you. I'll kill you.",5
Sit on the ground.,2
Shut your fucking mouth bitch.,3
You stupid little bitch.,3
"He's following me around with a knife, I need another new unit. I need another unit.",5
998. 998.,5
Stop. Stop. Stop. Put the gun down. Put the gun down. Put the,5
"Shots fired, shots fired, shots fired.",5
"Stay right there. Drop a 13, Drop a 13.",3
"Back up, Back up.",3
Yo you shot him yo.,5
"What's up brother. Hey, how we doing?",1
Is this your truck?,1
Yes sir,1
Alright. You got your driver's license on you buddy? Where you headed?,1
I was gonna go get a hotel.,1
You got any weapons on you brother? ,1
"Ok, is that an ankle monitor?",1
Yes sir it is. And I have a GPS while I'm out on bond.,1
What are you doing on your phone?,1
Oh don't worry about it man. Lets get that ID.,1
"Uh yea, you're fine. You don't have any ID on you? Here why don't you do me a favor and take off your seatbelt and step out.",2
Did you just hear me? Look at me. Take off your seat belt.,2
Are you requesting me.. or..,2
"I'm telling you to take off your seatbelt and step out. Why don't we do this. Put your hands... alright. 
",2
I've been hit.,5
He's down he's down. Where are you hit?,5
So what happened today?,1
What happened today sir?,1
Whats your name.,1
It's not Ben Day. I got your picture pulled up man.,2
That is not me. How are you gonna tell me who I am.,2
"I am calm, and it's not about to be. I wanna stay calm. I wanna stay calm",3
If you fail to comply,3
Put your hands behind your back.,2
Do not touch me.,2
"Listen, you're about to get TASED",4
"Bro, calm down.",3
You have a warrant for your arrest.,1
"If you TASE me, I'm telling you it's gonna get hot in this bitch. I'm telling you it's gonna get hot. I don't care. Go ahead. ",4
I'm gonna TASE you.,4
"OC, OC. Get on the ground.",3
Do you have a mental condition?,1
Like Schizophrenia and PTSD.,1
Ok. Do you have a doctor here? That you see?,1
"What do you, why do you need to know this stuff?",2
Is there anything on you that you shouldn't have?,1
"This, this is illegal, I'm not under arrest in Rockford. I'm just saying.",2
We're getting confirmation on that now ok?,1
But the rest is I have the right to remain silent.,1
Am I under arrest or no?,2
Hit him again. Put your hands behind your back. Hands behind your back. Release em.,4
